# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6
1.483073979999999931e-02 2.802304620961347047e-32 1.663189437044194951e-32 1.091213706522678770e-32 4.728784267400306707e-34 9.471700954776288775e-34 1.246245496157445719e-32 3.757017862870675543e-33
1.540115279999999982e-02 2.748733071379772973e-35 2.214182567024821478e-39 2.594162805440627249e-36 1.925401430877869471e-36 2.089539220823230593e-35 8.287665568004730340e-35 2.493474456987051022e-37
1.597156590000000168e-02 4.224413231892515379e-34 4.217451344853012927e-35 9.458210174947905703e-36 2.182028098515094605e-34 2.523533570273470640e-33 1.490518496578029375e-33 4.079106522046416461e-34
1.654197899999999832e-02 9.942510200582801749e-36 4.846904277799195671e-33 1.842050316342830593e-36 4.271298969201699897e-37 4.262895228102261974e-34 1.188260867245541291e-35 2.120255243826712082e-34
1.711239209999999844e-02 1.995094057017270708e-35 3.789166728584937293e-34 2.742223026002305500e-35 1.378579594488671794e-35 1.861892110667053814e-35 1.081688675401446111e-34 2.565508593011044234e-35
1.768280510000000069e-02 1.052427040101296220e-33 9.608505864548108864e-33 2.182560922789158136e-33 4.219127124153741042e-34 6.376215654630345110e-35 7.828299486641249212e-34 5.475889354410898878e-37
1.825321820000000081e-02 4.549037141641008873e-35 8.838923325181369248e-33 2.059054276051304506e-33 1.047807281771253680e-33 6.058556023341605788e-35 1.453411388034221283e-34 4.294603626395279999e-34
1.882363130000000093e-02 7.139232690562759232e-34 3.033545285390544528e-33 3.989171674649035273e-34 1.394072776293512971e-33 6.632064733946388569e-35 3.289647903318910829e-34 2.783381730404587797e-34
1.939404429999999971e-02 3.908911131619582236e-33 4.120811904634449832e-33 1.198257549364825877e-33 5.278263477727424169e-34 3.200448903296689563e-34 4.185864867373210544e-33 2.841736298020895950e-34
1.996445739999999983e-02 1.264982761787411609e-32 2.583703969184432612e-33 2.762089109878955718e-33 2.800358761785702067e-33 1.969824955352030713e-34 2.321762216475555927e-34 2.522597402282198595e-35
2.053487049999999994e-02 8.905985391005334156e-34 3.297372182669229827e-34 2.156619204336871401e-35 1.449527337652961297e-33 6.206578749607698852e-34 2.758448630911226905e-34 5.700069357546788350e-35
2.110528349999999873e-02 1.071347635840842470e-32 4.608119769025348496e-33 9.196550750376723334e-34 1.803709843277254673e-33 3.167929719987910497e-34 1.702873877783433678e-34 2.492986473027743747e-36
2.167569659999999884e-02 9.656941850813855613e-34 1.766908659923498784e-33 3.640718992135165728e-34 7.636944647310069848e-33 1.121215751487174308e-33 1.312651408499761618e-33 1.853829330955609735e-34
2.224610969999999896e-02 1.606851004138900129e-33 5.659697733240257947e-32 8.821994168026672135e-33 4.446367235759765937e-34 1.038769132138272119e-33 1.402662482042251138e-33 7.946108547938502578e-34
2.281652270000000121e-02 1.588654254086647439e-33 9.201909162927821890e-33 1.782283114700070717e-32 4.455169651856202034e-33 9.024744939672729606e-34 1.886305657133508331e-32 2.852898960986575110e-34
2.338693580000000133e-02 8.189620421961310265e-34 1.477515827487023267e-32 1.002953119708455986e-33 6.927332012517524294e-36 1.098877598653536727e-35 7.804095484261997891e-35 3.510128451179811783e-35
