# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7
5.603923099999999838e-03 1.105060484454833770e-22 5.578580122881761088e-21 6.730475812501976911e-21 4.089116846323618913e-18 3.265023447591032169e-20 9.634058892883111880e-15 4.373488537228746483e-24 4.004844620404799058e-11
6.404483600000000082e-03 3.178338459570614931e-27 1.578435579920620550e-25 1.964736816335585037e-25 1.304097045062541005e-22 1.044902079933116624e-24 3.700589058466520508e-19 1.356136467796866965e-28 2.050902633888769681e-15
7.205043999999999858e-03 3.174828362750417779e-30 4.595500234857984413e-30 4.244088987225608587e-35 2.191464330322531777e-27 6.442045773393753810e-29 8.523983660526449628e-24 1.909989306661358872e-30 5.888173492228712173e-20
8.005604499999999235e-03 1.284112617832106694e-34 2.196561073463197175e-32 2.575669285926796452e-31 8.518953712967598514e-32 4.321901428202782492e-35 1.306817920082487109e-28 1.136999972824323514e-34 1.044950902687682422e-24
8.806164899999999879e-03 3.700483520035693401e-33 1.276934401767565779e-32 1.674289488532458087e-33 1.381749389716074156e-33 7.773691876876901967e-33 6.025870973697741886e-33 1.905739679521672119e-32 1.333719271156759315e-29
9.606725300000000523e-03 1.416683032766511729e-31 1.086940957238542720e-30 5.368446261023980739e-31 1.581628556500684951e-30 2.312882454326745394e-31 4.085014817460194385e-32 4.631763946524270663e-31 2.294140460381593228e-31
1.040728580000000077e-02 3.220939609576082770e-31 6.901658627658418134e-31 5.470283386826976485e-30 1.761377251882723363e-31 2.358941663948499443e-33 1.485739099518904224e-31 3.030864894232103253e-31 7.954106599174288489e-31
1.120784619999999968e-02 3.306989236584933042e-31 3.930856278161969727e-31 1.794861204299946802e-33 1.272586258651494876e-31 1.886524719588456995e-32 7.201955037249695849e-32 1.799718419911779930e-31 2.941358756608857664e-31
1.200840669999999992e-02 2.202927259470201018e-32 3.081299733060283207e-33 2.105811379175848210e-33 1.063184019025001547e-31 2.447908144608983405e-31 4.589854095252015298e-32 1.546266555155972097e-34 1.726519805769293571e-31
1.280896710000000056e-02 2.842309912499970573e-32 1.093178302125817591e-31 6.089971738763179079e-32 1.731600905012420597e-32 2.106722811145770666e-32 2.517619741343618817e-32 1.812502869095026755e-32 3.685799060809595562e-34
1.360952760000000081e-02 6.212212624777462849e-33 3.684105330260181430e-33 1.064182054500506216e-33 2.747928046430498860e-33 7.821060374244453069e-34 7.116418864893836400e-34 2.077411738169885877e-32 7.360602842014558783e-34
