# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3
5.258745000000000086e-02 1.420152512418887766e-29 1.607404588777515324e-30 4.016897300082091609e-30 3.876676691808633721e-30
5.344953940000000264e-02 2.566153546321236877e-31 7.417730538402751070e-30 5.973756303281064588e-31 5.085462768000362308e-31
5.431162870000000309e-02 9.079357272748478209e-30 4.322084409033668842e-30 1.305654973165547100e-32 1.833782214502220982e-30
5.517371809999999793e-02 6.520461749185422349e-33 7.458854100687835091e-32 2.507282590025897257e-30 5.917272870951829676e-31
5.603580739999999838e-02 3.095098899892504699e-32 3.038802981816454596e-32 4.739461547088111776e-32 1.809871764188217363e-33
5.689789680000000016e-02 8.579886843381612720e-32 8.537992423761256034e-32 7.741185971524756473e-33 3.609565527657313861e-34
5.775998610000000061e-02 3.538957589001039625e-33 1.310137816292448719e-33 2.044978563673540809e-33 1.069878156498481839e-32
5.862207540000000106e-02 1.083184146606321469e-30 2.697615887385803640e-31 2.009922433310397723e-32 1.740338079955116472e-31
5.948416480000000284e-02 2.015603106272389724e-33 1.109546074728394722e-33 1.729282855156393682e-32 1.307898665917023064e-32
6.034625410000000328e-02 2.282980811242819095e-34 1.703563062523142088e-33 2.426738955603132262e-34 3.357899263296499619e-34
6.120834349999999813e-02 3.016658817558591482e-33 3.099781591019646751e-34 2.780181208873721176e-34 2.621754864158654062e-34
6.207043279999999857e-02 6.247636615686326460e-35 8.244918131751716500e-36 3.486066553253224156e-35 3.636424845790591069e-35
6.293252219999999342e-02 5.212138761728181132e-32 1.660832284756824566e-33 5.139697985680461942e-34 2.760963977136405673e-33
6.379461150000000080e-02 4.922615988301836575e-33 6.417667271713362215e-34 6.952790646207695822e-33 3.300679271204984355e-33
6.465670090000000259e-02 2.734209505872022140e-34 5.080800099950944313e-35 9.561946978009378611e-33 9.492542697102714173e-33
6.551879019999999609e-02 3.311350785959689186e-33 6.501032041196665055e-36 1.210436061421178672e-33 5.519990389535691004e-33
6.638087950000000348e-02 1.161848608043199000e-32 3.547207103482050235e-33 5.470298520269034674e-32 5.394041917896627432e-32
6.724296890000000526e-02 2.292940981234238698e-33 1.118366429495339036e-32 1.086858183883452746e-33 5.711807930695348812e-34
6.810505819999999877e-02 4.887737201813667723e-34 2.617927993453737327e-32 1.757774627748227248e-33 4.958996627147033394e-32
6.896714760000000055e-02 3.803763361344146482e-33 6.200282565260801282e-32 6.612569009150730338e-34 5.217847396494414648e-33
6.982923689999999406e-02 5.375479412228361518e-33 6.202376273605910433e-32 7.938092612320657284e-34 7.281336764678027293e-34
7.069132629999999584e-02 1.205935318885904015e-33 1.128794150166203532e-34 3.259300985770511725e-32 2.089009896930024916e-31
7.155341560000000323e-02 1.089682253629645331e-31 4.365417064900356286e-32 6.604551061018049876e-32 8.853379874495100250e-32
7.241550500000000501e-02 2.699893223987195748e-32 2.272643487405659429e-33 6.057775778596641501e-32 5.296705653806083039e-33
7.327759429999999852e-02 4.610905600793880008e-34 2.890144000523797166e-33 1.396740576982100546e-32 1.409289021218977225e-32
7.413968360000000590e-02 1.671326569830820286e-33 1.316171962189627610e-32 3.121471720305166445e-33 6.492354153068887096e-33
7.500177299999999381e-02 5.045795469581550359e-32 4.604863306832038323e-32 1.701155663149145981e-32 4.002322290474853997e-34
7.586386230000000119e-02 1.723550795050836068e-32 6.947864616823033584e-33 3.103103904367292790e-33 5.052162398700773894e-33
7.672595170000000298e-02 9.327805861398924879e-33 2.581231186679132449e-32 8.500426283426914586e-34 1.615286929122468863e-34
7.758804099999999648e-02 2.192057732786520813e-31 4.950941845799894712e-32 5.091371592067458685e-32 3.314433258222359667e-33
7.845013039999999827e-02 2.225903088706013247e-32 2.603629050733890043e-32 7.023006847607191931e-33 1.562463920969442287e-31
7.931221970000000565e-02 1.574535104763591407e-32 1.428817597042241690e-33 1.457861851589044001e-32 4.898818368598565659e-32
8.017430909999999356e-02 4.756599533607668025e-32 7.222354843363821498e-33 8.277799837881375892e-32 1.081259020120214450e-31
8.103639840000000094e-02 1.850957982955740338e-33 1.370250132239367606e-32 1.638253512165113731e-31 8.703556383247177844e-33
8.189848769999999445e-02 3.216328885464073302e-34 6.590609071761867154e-36 6.244378538473149793e-36 5.250621177145927526e-35
8.276057709999999623e-02 6.072606624926313200e-34 3.425081444362913450e-34 3.881165330081366099e-37 3.655316685519446114e-36
8.362266640000000362e-02 1.095795794175517420e-32 7.247268803319593958e-34 6.063089526565703041e-33 5.494587786230385774e-33
8.448475580000000540e-02 2.775609753595981523e-33 6.685355116804286879e-34 2.641836758074682203e-33 0.000000000000000000e+00
8.534684509999999891e-02 1.861557095225325684e-35 0.000000000000000000e+00 3.245614853273474762e-32 1.755049120172692244e-34
8.620893450000000069e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
