# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7 psi2_state_8 psi2_state_9 psi2_state_10 psi2_state_11 psi2_state_12 psi2_state_13
-7.248349319999999874e-02 3.471156811808947075e-33 1.535499614938305195e-32 1.638198957644414923e-39 4.470835945455411446e-32 2.194522487980898036e-32 4.368610263391619530e-33 3.725288926498383404e-33 3.405259918417940408e-31 2.899463012891061461e-32 3.620306741606809390e-33 7.471610362941123464e-35 5.613601893597298620e-33 1.321458464211445860e-33 4.236843666322631746e-32
-7.157744950000000106e-02 1.232173116479695338e-35 3.320623944315385564e-33 3.018374921039361032e-31 4.046653626372162425e-34 5.891383915353520825e-34 1.796974163898890799e-32 2.624070516374956964e-33 7.567784118180699924e-34 2.233421206834377843e-32 1.503840683469775749e-36 7.248491521282723127e-35 5.326544808948707513e-34 1.510381117090667288e-34 3.880654168207029152e-34
-7.067140580000000338e-02 1.978673997125745094e-34 1.990024605060090980e-32 1.726843304672246297e-32 7.920882903978710995e-32 6.107584600788677303e-35 7.867007147029149634e-34 7.340129713753566194e-34 1.135889511597577530e-31 1.510584266028113425e-32 2.487612126221802523e-34 4.769522904248001025e-32 4.245429254090721347e-35 2.573989570718821535e-32 2.849783326779244316e-34
-6.976536220000000010e-02 3.812421645356501525e-34 2.498679677208225754e-36 1.367394803571817223e-33 1.435889856384225594e-33 2.314304507235218297e-32 1.813797091424052404e-33 1.284605919610560978e-31 9.851111001454033008e-33 1.564209686109295742e-34 1.440965953108477675e-32 3.039434637232083517e-33 2.699064960666061251e-32 4.199750174313127650e-33 2.426384670242450082e-35
-6.885931850000000243e-02 6.671044277087866969e-35 6.295218046318934679e-31 3.952157743533649841e-35 1.673509138692813043e-31 3.897255253440985276e-33 6.816442679439152743e-34 7.210029540820597921e-33 7.876359933846681701e-34 1.061803492400533915e-34 1.801984429833337637e-33 8.768470453338873365e-33 1.078578906320008003e-33 1.182705255862212339e-32 6.269362622341829004e-34
-6.795327480000000475e-02 2.895805667013266202e-33 1.051678388672145122e-32 5.725345869930556632e-34 1.132591360252852364e-33 5.790576839500971579e-34 1.336790108891715413e-31 1.254035780514559578e-34 2.464831098555640274e-32 3.820784087553450271e-34 1.269462190877649531e-32 8.568704961308376915e-33 2.668675986420405308e-32 2.073623017882328716e-32 2.568579006964859192e-32
-6.704723120000000147e-02 1.700694670338607066e-32 5.407071814558106963e-32 4.658136964029641990e-33 3.203487109547391336e-33 7.237009371798909918e-33 5.198801177035384682e-32 1.533191638400078516e-32 3.036388809808187428e-34 1.026457222686123279e-32 6.013009595081101902e-33 4.741043746726863494e-32 7.044487688849206856e-33 4.946818482332355628e-34 5.582747709173539223e-33
-6.614118750000000380e-02 2.024493625169964932e-33 1.874192482273493778e-32 1.309948415288980375e-32 4.972740692251865328e-32 1.051472286573140699e-33 8.549936777479135844e-32 7.437946541580024439e-34 2.238333577599510172e-31 1.449385032255383689e-32 7.632486103395003810e-34 1.173583195376473120e-32 1.431594387360319624e-33 6.341440880444233609e-33 3.698628637056009925e-34
-6.523514380000000612e-02 7.368766778799778771e-34 2.991903786901963700e-32 3.990387831006716842e-33 1.130729118395381363e-31 8.611574143175675602e-37 6.721502304742568053e-32 6.192543506127180809e-35 1.401615365456959208e-33 1.407834849176147101e-33 4.120185315715754758e-35 3.469280320392620534e-34 5.485349091614216092e-35 1.975133054830868166e-34 2.474825079707097603e-35
-6.432910020000000284e-02 1.060751711606271301e-35 2.490936775879696501e-32 4.169569351290732994e-33 3.187797429559589096e-34 9.245260655372994132e-34 5.265757227469239685e-32 2.211936297752858640e-33 1.278164445551686272e-32 2.626990607336964031e-32 4.190431859736089947e-37 4.274733026091014476e-33 1.143136392886839198e-35 2.292539285562663835e-32 1.657810778460757559e-34
